run,model_name,C,class_weight,myval_f1_at_0_5,myval_best_f1,myval_best_threshold,myval_n,myval_pos_true,myval_pos_pred_at_0_5,myval_prob_mean,myval_prob_median,v4_cluster_f1_at_0_5,v4_cluster_best_f1,v4_cluster_best_threshold,v4_cluster_n,v4_cluster_pos_true,v4_cluster_pos_pred_at_0_5,v4_cluster_prob_mean,v4_cluster_prob_median,v4_top_f1_at_0_5,v4_top_best_f1,v4_top_best_threshold,v4_top_n,v4_top_pos_true,v4_top_pos_pred_at_0_5,v4_top_prob_mean,v4_top_prob_median,test_available_n,test_missing_filled_from_baseline,test_available_pos_pred_at_0_5,test_pos_pred_at_0_5,test_prob_mean,diff_vs_baseline,baseline_pos_to_neg,baseline_neg_to_pos
siglip_noweight,vit_base_patch16_siglip_224,0.3,none,0.6449704142011834,0.6574585635359116,0.1440173192695558,332,146,192,0.5639653533728163,0.7978561687136891,0.951219512195122,0.9625,0.7173948675404268,160,79,85,0.5228737965472536,0.7211386694874286,0.98159509202454,0.9876543209876544,0.6852772041392341,160,80,83,0.5176247198220867,0.8185217666391693,176,18,97,105,0.5402281125817511,47,35,12
siglip_noweight,vit_base_patch16_siglip_224,0.1,none,0.6390532544378699,0.6481994459833795,0.2191843500802302,332,146,192,0.5633912989098666,0.7184608874904483,0.9454545454545454,0.9454545454545454,0.5,160,79,86,0.5309419785238161,0.7010322882129747,0.98159509202454,0.98159509202454,0.5,160,80,83,0.5213188835174432,0.8462569141682452,176,18,96,104,0.5390758172219958,46,35,11
siglip_balanced,vit_base_patch16_siglip_224,0.1,balanced,0.6409495548961425,0.65,0.2080137215864543,332,146,191,0.5555790258304235,0.6996431208928068,0.9447852760736196,0.9454545454545454,0.4895271090436921,160,79,84,0.5244851437668416,0.669328247566817,0.98159509202454,0.98159509202454,0.5,160,80,83,0.5185282098919262,0.8349441387684184,176,18,95,103,0.5299984046711792,47,36,11
clip_balanced,vit_base_patch32_clip_224,0.3,balanced,0.6121212121212121,0.6909090909090909,0.0273511537870534,332,146,184,0.5488642689644134,0.6997999917416609,0.935897435897436,0.9565217391304348,0.4265379597755022,160,79,77,0.509743040364989,0.4781211737464731,0.9625,0.98159509202454,0.4265379597755022,160,80,80,0.5194329526598718,0.5067192300575163,176,18,102,110,0.5805052700598551,48,33,15
siglip_noweight,vit_base_patch16_siglip_224,0.03,none,0.6227544910179641,0.6525198938992043,0.1806282255396379,332,146,188,0.56456714610067,0.7034995252264091,0.9146341463414634,0.9285714285714286,0.4095227822959859,160,79,85,0.5387401187048826,0.6846623789723315,0.975609756097561,0.98159509202454,0.6894101856552706,160,80,84,0.5281864765338183,0.792569231612799,176,18,99,107,0.536870102106218,41,31,10
siglip_balanced,vit_base_patch16_siglip_224,0.01,balanced,0.6139817629179332,0.6534653465346535,0.1206630885415358,332,146,183,0.557904060973772,0.6436488236188191,0.9146341463414634,0.9146341463414634,0.5,160,79,85,0.5344297894286786,0.623145633436211,0.975609756097561,0.975609756097561,0.5,160,80,84,0.5323841362414901,0.749981406035996,176,18,96,104,0.5244359878704354,44,34,10
siglip_balanced,vit_base_patch16_siglip_224,0.03,balanced,0.6139817629179332,0.6542553191489362,0.1563828174573862,332,146,183,0.5548592337051151,0.6760672393345394,0.9135802469135802,0.9285714285714286,0.3786350687971822,160,79,83,0.5300606628607646,0.6578320723864016,0.98159509202454,0.98159509202454,0.5,160,80,83,0.5237924795598256,0.7733589159807013,176,18,97,105,0.5260058100288572,43,33,10
clip_balanced,vit_base_patch32_clip_224,0.1,balanced,0.6309523809523809,0.6851385390428212,0.0660424201628286,332,146,190,0.5656432095284003,0.6882117490393025,0.9125,0.9419354838709676,0.6023847367148666,160,79,81,0.5149807118116152,0.5336531711280141,0.9440993788819876,0.9681528662420382,0.7444680507733288,160,80,81,0.5259674825000632,0.5567171240336435,176,18,102,110,0.5797819085811059,48,33,15
siglip_noweight,vit_base_patch16_siglip_224,0.01,none,0.608433734939759,0.6534653465346535,0.1364267440623688,332,146,186,0.5694436040606693,0.6657469122114649,0.9090909090909092,0.9146341463414634,0.5652129613268546,160,79,86,0.5445969347889774,0.6528830544760937,0.975609756097561,0.975609756097561,0.5,160,80,84,0.5382324491149116,0.7792452093044637,176,18,100,108,0.5365909626805141,42,31,11
clip_balanced,vit_base_patch32_clip_224,0.03,balanced,0.6153846153846154,0.6736292428198434,0.2600550940603701,332,146,192,0.5898822769878789,0.7071753700618054,0.906832298136646,0.9240506329113924,0.619970235040647,160,79,82,0.5212854289104634,0.5374017639978377,0.9440993788819876,0.9548387096774194,0.755732666722704,160,80,81,0.5340845880832179,0.5844125615152289,176,18,101,109,0.5739725204038261,43,31,12
clip_balanced,vit_base_patch32_clip_224,0.01,balanced,0.6458923512747875,0.6682808716707022,0.1707755087658475,332,146,207,0.6020253877114751,0.7086401468755743,0.8711656441717791,0.8780487804878049,0.4964911266900694,160,79,84,0.5231925512023239,0.5578880072645036,0.926829268292683,0.9433962264150944,0.5838550551302671,160,80,84,0.5417228642714799,0.568342183694089,176,18,103,111,0.5671181483446482,37,27,10
